
═══ 스탯 유효성 — 스탯 하나만 고/저(80 vs 45)로 가른 동일 전력 A/B, 각 10000경기 ═══
스탯           구분   고스탯팀 승률   5세트 승률   판정
대조군(차이 없음)   —        49.9%     50% (3263회)   ✅ 노이즈 정상
키            신체       84.5%     67% (2207회)   ✅ 유효
점프력          신체       73.9%     60% (2816회)   ✅ 유효
민첩성          신체       67.2%     58% (3060회)   ✅ 유효
체력           신체       55.2%     53% (3349회)   ✅ 유효
체젠           신체       53.9%     53% (3339회)   ⚠ 약함
반응속도         공통       80.1%     65% (2507회)   ✅ 유효
위치선정         공통       73.7%     61% (2812회)   ✅ 유효
집중력          멘탈       68.1%     59% (3005회)   ✅ 유효
기복           멘탈       70.4%     58% (2940회)   ✅ 유효
VQ(배구IQ)     멘탈       68.8%     58% (3038회)   ✅ 유효
공격기술         기술       72.7%     60% (2907회)   ✅ 유효
블로킹기술        기술       57.1%     52% (3230회)   ✅ 유효
디그기술         기술       67.5%     58% (3085회)   ✅ 유효
리시브기술        기술       60.3%     52% (3257회)   ✅ 유효
세팅기술         기술       59.4%     53% (3277회)   ✅ 유효
서브기술         기술       76.7%     62% (2730회)   ✅ 유효

✅ 전 스탯 유효 — 모든 스탯이 올바른 방향으로 경기에 작용
